Energy_MeV,Elec_Stop,Nuc_Stop,Total_Stop
0.001,59.24,39.07,98.31
0.0015,72.81,39.54,112.4
0.002,84.28,39.23,123.5
0.0025,94.41,38.6,133.0
0.003,103.6,37.86,141.4
0.004,119.9,36.26,156.2
0.005,134.3,34.72,169.0
0.006,147.4,33.28,180.6
0.007,159.4,31.96,191.3
0.008,170.6,30.76,201.3
0.009,181.1,29.65,210.8
0.01,191.1,28.64,219.7
0.0125,214.0,26.43,240.4
0.015,234.7,24.59,259.3
0.0175,253.8,23.04,276.9
0.02,271.6,21.7,293.3
0.0225,288.3,20.53,308.9
0.025,304.1,19.5,323.6
0.0275,319.1,18.59,337.7
0.03,333.5,17.77,351.3
0.035,360.5,16.36,376.8
0.04,385.5,15.18,400.7
0.045,409.0,14.19,423.2
0.05,431.2,13.33,444.5
0.055,452.2,12.59,464.8
0.06,472.2,11.93,484.2
0.065,491.4,11.35,502.7
0.07,509.7,10.83,520.5
0.075,527.3,10.36,537.7
0.08,544.3,9.932,554.2
0.085,560.6,9.544,570.2
0.09,576.4,9.189,585.6
0.095,591.7,8.862,600.5
0.1,606.5,8.561,615.0
0.125,674.2,7.343,681.5
0.15,733.1,6.455,739.6
0.175,785.0,5.777,790.8
0.2,831.0,5.239,836.2
0.225,871.7,4.802,876.5
0.25,907.9,4.438,912.3
0.275,940.0,4.13,944.1
0.3,968.3,3.865,972.2
0.35,1015.0,3.434,1019.0
0.4,1051.0,3.096,1054.0
0.45,1077.0,2.824,1080.0
0.5,1095.0,2.599,1097.0
0.55,1106.0,2.41,1109.0
0.6,1112.0,2.248,1115.0
0.65,1114.0,2.109,1116.0
0.7,1112.0,1.987,1114.0
0.75,1107.0,1.879,1109.0
0.8,1100.0,1.784,1102.0
0.85,1092.0,1.698,1093.0
0.9,1082.0,1.621,1083.0
0.95,1071.0,1.551,1072.0
1.0,1059.0,1.487,1060.0
1.25,995.6,1.238,996.8
1.5,933.7,1.064,934.7
1.75,877.6,0.936,878.6
2.0,827.9,0.8369,828.8
2.25,785.2,0.7579,786.0
2.5,747.8,0.6934,748.5
2.75,714.5,0.6396,715.2
3.0,684.4,0.5941,685.0
3.5,631.9,0.5209,632.4
4.0,587.1,0.4647,587.6
4.5,548.3,0.42,548.7
5.0,514.3,0.3836,514.7
5.5,484.2,0.3534,484.6
6.0,457.3,0.3278,457.6
6.5,433.4,0.3058,433.7
7.0,412.5,0.2868,412.8
7.5,393.7,0.2701,393.9
8.0,376.7,0.2554,377.0
8.5,361.5,0.2422,361.7
9.0,347.6,0.2304,347.8
9.5,334.9,0.2198,335.1
10.0,323.2,0.2102,323.5
12.5,276.7,0.1728,276.8
15.0,243.2,0.1472,243.3
17.5,217.8,0.1285,217.9
20.0,197.8,0.1142,197.9
25.0,168.0,0.09364,168.1
27.5,156.6,0.08602,156.7
30.0,146.8,0.07959,146.9
35.0,130.8,0.06935,130.9
40.0,118.3,0.06152,118.4
45.0,108.2,0.05533,108.3
50.0,99.92,0.05032,99.97
55.0,92.91,0.04617,92.95
60.0,86.92,0.04268,86.96
65.0,81.74,0.0397,81.78
70.0,77.22,0.03711,77.25
75.0,73.22,0.03486,73.26
80.0,69.67,0.03287,69.7
85.0,66.48,0.0311,66.51
90.0,63.61,0.02952,63.64
95.0,61.0,0.02809,61.03
100.0,58.63,0.0268,58.66
125.0,49.33,0.02184,49.35
150.0,42.85,0.01846,42.86
175.0,38.05,0.016,38.06
200.0,34.34,0.01412,34.36
225.0,31.39,0.01265,31.4
250.0,28.98,0.01146,28.99
275.0,26.97,0.01048,26.98
300.0,25.27,0.009654,25.28
350.0,22.55,0.008345,22.56
400.0,20.46,0.007348,20.47
450.0,18.8,0.006565,18.81
500.0,17.46,0.005933,17.46
550.0,16.34,0.005413,16.35
600.0,15.4,0.004978,15.41
650.0,14.6,0.004609,14.61
700.0,13.91,0.004291,13.91
750.0,13.3,0.004014,13.31
800.0,12.77,0.003772,12.77
850.0,12.3,0.003557,12.3
900.0,11.88,0.003365,11.88
950.0,11.5,0.003192,11.5
1000.0,11.15,0.003036,11.16
